num,stime,flgs,proto,saddr,sport,daddr,dport,pkts,bytes,state,ltime,seq,dur,mean,stddev,sum,min,max,splts,dpkts,sbytes,dbytes,rate,srate,drate,attack,category,subcategory
0,1526344121,e,2,192.168.100.1,,192.168.100.3,,4,240,CON,1526345317,9,1195.996582,0.000006,0.000002,0.000011,0.000004,0.000007,2,2,120,120,0.002508,0.000836,0.000836,0,Normal,0
1,1526344223,e,1,192.168.100.7,139,192.168.100.4,36390,10,680,CON,1526345677,10,1453.945923,0.000028,0.000008,0.000138,0.000022,0.000042,5,5,350,330,0.00619,0.002751,0.002751,1,Reconnaissance,1
2,1526344227,e,3,192.168.100.149,51838,27.124.125.250,123,2,180,CON,1526344227,11,0.048565,0.048565,0,0.048565,0.048565,0.048565,1,1,90,90,20.59096,0,0,0,Normal,0
3,1526344228,e,2,192.168.100.4,,192.168.100.7,,10,510,CON,1526345682,12,1454.080322,0.000238,0.000022,0.001189,0.000199,0.000261,5,5,210,300,0.006189,0.002751,0.002751,0,Normal,0
4,1526344303,e,3,192.168.100.27,58999,192.168.100.1,53,4,630,CON,1526344873,14,569.93396,0.098505,0.08015,0.197011,0.018356,0.178655,2,2,174,456,0.005264,0.001755,0.001755,0,Normal,0
5,1526344303,e,2,192.168.100.1,,192.168.100.27,,2,120,CON,1526344303,15,0.000367,0.000367,0,0.000367,0.000367,0.000367,1,1,60,60,2724.795654,0,0,0,Normal,0
6,1526344308,e,2,192.168.100.27,,192.168.100.1,,4,240,CON,1526344878,16,569.855957,0.000122,0.000025,0.000243,0.000097,0.000146,2,2,120,120,0.005264,0.001755,0.001755,0,Normal,0
7,1526344326,e,3,192.168.100.150,58360,192.168.217.2,53,2,172,INT,1526344329,18,2.500101,0,0,0,0,0,2,0,172,0,0.399984,0.399984,0,0,Normal,0
8,1526344328,e,3,192.168.100.149,37214,192.168.217.2,53,2,172,INT,1526344331,41,2.501101,0,0,0,0,0,2,0,172,0,0.399824,0.399824,0,0,Normal,0
9,1526344328,e,2,192.168.100.150,37214,192.168.217.2,53,2,172,INT,1526344331,41,2.501101,0,0,0,0,0,2,0,172,0,0.399824,0.399824,0,0,Normal,0
10,1526344332,e,2,192.168.100.150,,192.168.100.1,,6,360,CON,1526345484,65,1152.256592,0.000091,0.000014,0.000273,0.000075,0.000109,3,3,180,180,0.004339,0.001736,0.001736,0,Normal,0
11,1526344332,e,3,192.168.100.7,138,192.168.100.255,138,4,1086,INT,1526345061,104,728.37085,0.000077,0.000016,0.000154,0.000061,0.000093,4,0,1086,0,0.004119,0.004119,0,0,Normal,0
12,1526344333,e,3,192.168.100.150,57950,8.8.8.8,53,2,172,CON,1526344333,107,0.007523,0.007523,0,0.007523,0.007523,0.007523,1,1,86,86,132.925705,0,0,0,Normal,0
13,1526344333,e,1,192.168.100.150,36663,192.168.100.3,8080,2,120,RST,1526344333,108,0.000108,0.000108,0,0.000108,0.000108,0.000108,1,1,60,60,9259.258789,0,0,1,Reconnaissance,4
14,1526344333,e,1,192.168.100.149,36663,192.168.100.3,554,2,120,RST,1526344333,109,0.000107,0.000107,0,0.000107,0.000107,0.000107,1,1,60,60,9345.793945,0,0,1,Reconnaissance,1
15,1526344333,e,1,192.168.100.1,36663,192.168.100.3,80,3,180,RST,1526344333,110,0.00022,0.00022,0,0.00022,0.00022,0.00022,2,1,120,60,9090.90918,4545.45459,0,1,Reconnaissance,2
16,1526344333,e,1,192.168.100.149,36663,192.168.100.3,443,2,120,RST,1526344333,111,0.000131,0.000131,0,0.000131,0.000131,0.000131,1,1,60,60,7633.588379,0,0,1,Reconnaissance,1
17,1526344333,e,1,192.168.100.150,36663,192.168.100.3,111,2,120,RST,1526344333,112,0.00013,0.00013,0,0.00013,0.00013,0.00013,1,1,60,60,7692.307617,0,0,1,Reconnaissance,1
18,1526344333,e,1,192.168.100.1,36663,192.168.100.3,143,3,180,RST,1526344333,113,0.000246,0.000246,0,0.000246,0.000246,0.000246,2,1,120,60,8130.081055,4065.040527,0,1,Reconnaissance,1
19,1526344333,e,1,192.168.100.149,36663,192.168.100.3,110,3,180,RST,1526344333,114,0.000242,0.000242,0,0.000242,0.000242,0.000242,2,1,120,60,8264.462891,4132.231445,0,1,Reconnaissance,1
20,1526344333,e,1,192.168.100.150,36663,192.168.100.3,3306,3,180,RST,1526344333,115,0.000253,0.000253,0,0.000253,0.000253,0.000253,2,1,120,60,7905.138184,3952.569092,0,1,Reconnaissance,1
21,1526344333,e,1,192.168.100.4,36663,192.168.100.3,23,2,120,RST,1526344333,116,0.0001,0.0001,0,0.0001,0.0001,0.0001,1,1,60,60,10000,0,0,1,Reconnaissance,1
22,1526344333,e,1,192.168.100.4,36663,192.168.100.3,199,2,120,RST,1526344333,117,0.000105,0.000105,0,0.000105,0.000105,0.000105,1,1,60,60,9523.80957,0,0,1,Reconnaissance,1
23,1526344333,e,1,192.168.100.4,36663,192.168.100.3,1025,2,120,RST,1526344333,118,0.000037,0.000037,0,0.000037,0.000037,0.000037,1,1,60,60,27027.02539,0,0,1,Reconnaissance,1
24,1526344333,e,1,192.168.100.150,36663,192.168.100.3,139,2,120,RST,1526344333,119,0.000026,0.000026,0,0.000026,0.000026,0.000026,1,1,60,60,38461.53906,0,0,1,Reconnaissance,1
25,1526344333,e,1,192.168.100.150,36663,192.168.100.3,53,3,180,RST,1526344333,120,0.000097,0.000097,0,0.000097,0.000097,0.000097,2,1,120,60,20618.55664,10309.27832,0,1,Reconnaissance,1
26,1526344333,e,1,192.168.100.150,36663,192.168.100.3,587,3,180,RST,1526344333,121,0.000137,0.000137,0,0.000137,0.000137,0.000137,2,1,120,60,14598.54102,7299.270508,0,1,Reconnaissance,1
